UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
983c14b8-f35b-497b-9fd4-5e5f5f0a7aa7,3.317577301,0.0,0.0,0.0,0.0,7.0050033439999995,23.22580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a47c2012-c13d-48ac-88b6-e09bfd50122b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5975deb5-00d2-4d18-b5c0-34ac9947fe11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec399861-7a56-4ffd-8619-700b6e3a4367,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4ef20a13-f107-4654-adca-fc60b8f5be47,13.9947169,0.0,0.0,0.0,0.0,29.54958689,0.0,0.0,0.0,0.0,31.39240506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e7c90af0-4b03-453e-b44f-e07248415088,0.0,0.0,0.0,0.0,0.0,0.0,37.89473684,18.18947368,0.0,0.0,20.21052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50e3a421-9741-4cd8-911b-0f47ca518b6a,7.492320501,0.0,0.0,0.0,0.0,15.81989669,54.73303167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494,0.0,0.0,268.8413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
796a8782-6d7e-47c8-b322-fcfe1dd240c8,3.0732947530000003,0.0,0.0,0.0,0.0,6.489205247,0.0,6.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bb65d670-0411-4fc5-a6cb-019caec1ab36,13.27634116,24.78545455,0.0,0.0,0.0,28.03274975,40.27636364,0.0,0.0,0.0,26.85090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56cc8740-b132-4cbc-b513-f0b5b2305ca6,6.106415719,0.0,0.0,0.0,0.0,12.89358428,89.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0e0d978-3e32-4444-a07a-26049b2594e6,6.540574547,0.0,0.0,0.0,0.0,13.81030265,0.0,0.0,0.0,0.0,78.35087719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97a6f44a-c622-11e3-bf01-24c6515278c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bcc74a5e-c622-11e3-bf01-24c6515278c0,4.051465613,0.0,0.0,0.0,0.0,8.554594993,0.0,0.0,0.0,0.0,17.45454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
