UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
c556f81b-8a6c-4bbb-876f-2e2ce570c185,0.0,187.9476351,113.5726351,0.0,0.0,0.0,184.9324324,0.0,0.0,0.0,0.0,47.23817568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63db50d6-5ef2-44d0-9906-26eae74ecf44,0.0,0.0,293.98819560000004,0.0,0.0,0.0,149.0008432,0.0,0.0,0.0,0.0,72.24283305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1c188bf5-2c99-4eb4-a774-59c75d53e643,313.1151575,704.8848425,180.3543307,0.0,0.0,0.0,373.734252,0.0,0.0,0.0,0.0,404.2942913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4c59fb2d-21b6-4b09-8174-6102de736e4d,114.2625518,401.9235375,92.21188392,0.0,0.0,0.0,264.10686319999996,0.0,0.0,0.0,0.0,150.3454629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18ec066e-8510-4921-9e35-45d85fb01e38,0.0,264.4516785,129.69277720000002,0.0,0.0,0.0,71.43234995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35c797fd-ca81-4cef-b6c4-7e3776f661b3,143.5802124,253.14141980000002,231.1291224,0.0,0.0,0.0,121.56791499999999,0.0,0.0,0.0,0.0,85.04751258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3db6e6cc-1a06-49b9-834e-b6611cde4c4b,0.0,233.52125279999998,114.25503359999999,0.0,0.0,0.0,44.59955257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67bb70b2-b6f8-4aa9-80ce-48829f9fec56,0.0,377.1186441,311.7514124,0.0,0.0,0.0,172.9717514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cb783f8b-d092-4104-b809-3f90b19df7df,0.0,246.39885099999998,586.2593352000001,0.0,0.0,0.0,227.9064423,0.0,0.0,0.0,0.0,87.96389003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968929b0-6bfb-4a2c-bd4d-570bfcdb8a6a,0.0,159.8577778,206.31644440000002,0.0,0.0,0.0,165.85244440000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
075fc96d-6742-4ef3-9369-482592ad3a2f,0.0,804.4601227,481.4723926,0.0,0.0,0.0,219.67177909999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2f02ff7-8433-4cb5-9324-34f13edeaca1,80.76790831,293.6561605,114.17191979999998,0.0,0.0,0.0,147.57593119999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d734d06-f2b1-4924-a201-620ac8084c49,0.0,453.3394813,128.66397690000002,0.0,0.0,0.0,240.2397695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9d691fa3-5c32-4b98-85c4-f6e0fd4c37e0,0.0,200.93239440000002,101.7126761,0.0,0.0,0.0,125.64507040000001,0.0,0.0,0.0,0.0,50.85633803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
df4366c4-170f-4233-b577-a8ea277b069c,201.16144580000002,547.939759,113.0907631,0.0,0.0,0.0,169.135743,0.0,0.0,0.0,0.0,187.6506024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72f0a49a-aec8-47e5-846a-956c4da1507c,362.6485963,419.59341720000003,512.0038722,0.0,0.0,0.0,355.15585669999996,0.0,0.0,0.0,0.0,373.6379477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3c963890-6e79-4b16-a4aa-bac04938b4d7,74.38046272,147.7557841,251.28534700000003,0.0,0.0,0.0,167.8586118,0.0,0.0,0.0,0.0,103.529563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
