UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
f8407106-8a96-8f85-e040-11ac0d481656,46.35658915,64.49612403,29.224806199999996,31.24031008,41.82170543,0.0,27.20930233,0.0,0.0,0.0,0.0,65.50387597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f85ae2b7-cebf-17a2-e040-11ac0c48033a,21.31343284,14.20895522,11.1641791,0.0,24.35820896,0.0,34.50746269,0.0,0.0,0.0,0.0,17.25373134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f86e2d80-911b-7a19-e040-11ac0d486900,0.0,0.0,32.11510791,0.0,60.21582734,0.0,65.23381295,0.0,0.0,0.0,0.0,72.25899281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f8809cee-8f81-28f8-e040-11ac0d4873bf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f82d213f-9843-28eb-e040-11ac0d483e48,0.0,0.0,25.27173913,0.0,0.0,0.0,26.78804348,0.0,0.0,0.0,0.0,33.86413043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f8425828-5b0f-23a8-e040-11ac0d484128,0.0,0.0,0.0,12.74509804,9.31372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f8572359-f29a-5945-e040-11ac0d4821cf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f86ae246-2492-9785-e040-11ac0d4813b0,102.8760529,41.94945848,31.46209386,0.0,0.0,0.0,67.41877256,0.0,0.0,0.0,0.0,96.38387485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f87e94a9-ef37-fcba-e040-11ac0c482332,0.0,14.17142857,27.33061224,0.0,18.22040816,0.0,29.35510204,0.0,0.0,0.0,0.0,18.22040816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f82d213f-bc06-5b51-e040-11ac0c48687e,12.375,7.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f843ed5c-0336-3d33-e040-11ac0d48478c,29.07945205,35.59726027,0.0,0.0,0.0,0.0,44.12054795,27.0739726,0.0,0.0,0.0,23.0630137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f8593ac0-9480-22a0-e040-11ac0d48697a,115.8088962,195.6771005,43.92751236,67.88797364,70.8830313,0.0,48.91927512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f86b6ba2-8f4b-ee53-e040-11ac0d485904,14.10447761,0.0,0.0,33.24626866,0.0,0.0,26.19402985,0.0,0.0,0.0,0.0,23.17164179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f87d7c27-eeef-920e-e040-11ac0d48388d,84.78238781,207.918713,74.6892464,0.0,0.0,0.0,85.28704488,62.57747671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f82d2146-70f5-8114-e040-11ac0d483e50,253.5,174.0,74.0,0.0,45.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f841c488-6b8d-6645-e040-11ac0c481418,0.0,0.0,125.8791541,0.0,0.0,0.0,29.08761329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f854ae3f-356d-f0ad-e040-11ac0c485dae,0.0,0.0,0.0,24.44859813,29.54205607,0.0,0.0,0.0,0.0,0.0,0.0,28.52336449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f86975a2-78a4-ef8c-e040-11ac0c4809da,51.61118509,0.0,26.31158455,180.13315580000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.61118509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f82d213f-bc99-5b1d-e040-11ac0c486880,78.41379309999999,77.91114058,0.0,0.0,107.5676393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f221c897-6ad0-0df9-e040-11ac0c4813ef,20.28571429,36.51428571,15.21428571,0.0,0.0,0.0,17.24285714,0.0,0.0,0.0,0.0,24.34285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f82d213f-9ba5-7b6b-e040-11ac0c486882,0.0,0.0,50.78125,28.4375,37.578125,0.0,58.90625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f85add3d-e2e6-31f8-e040-11ac0d48479c,47.8387458,0.0,0.0,170.4255319,107.6371781,0.0,0.0,0.0,0.0,0.0,0.0,82.72116461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
