UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
fc8130df-8e4e-586b-e040-11ac0d485e08,10.01992765,18.10909091,0.0,0.0,0.0,0.0,31.69090909,0.0,0.0,0.0,0.0,6.077042043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fc8130e0-0fde-b756-e040-11ac0c48328b,39.56283608,23.7079646,16.14159292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.99468604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fc8130e0-a38a-23b9-e040-11ac0c48327f,70.22733961,0.0,26.19033675,0.0,0.0,155.6310395,0.0,0.0,0.0,0.0,0.0,42.59257254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fc8130e0-a39a-23b5-e040-11ac0c483270,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fc8130e0-ad63-b804-e040-11ac0d485e10,6.847202068,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.1527979319999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f7d77a03-28a0-f446-e040-11ac0c4866fb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f393cfd8-ddbb-a0e1-e040-11ac0d48516b,0.0,0.0,12.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7b0b60c7-5fa0-440e-937f-8d82119330d6,0.0,10.68965517,0.0,0.0,0.0,0.0,11.75862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47b5d831-5287-4f62-b17a-6e5eff2e4184,17.21811046,0.0,0.0,0.0,0.0,25.14619883,14.08187135,0.0,0.0,0.0,0.0,10.44270825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6dbc5c31-043b-40e9-bf1a-e7b4ec351b4d,28.38902116,45.60683761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.21781645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f9f04e42-63a2-4ee1-ade4-9e5bb5c20cdd,0.0,30.58252427,0.0,0.0,0.0,0.0,62.18446602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7cdbe0e8-f614-4f54-b864-fd6b39e8ef1c,0.0,29.21804511,21.15789474,0.0,0.0,28.21052632,35.26315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98bb3025-0637-4106-8621-12df7b5d662f,10.99310658,10.79245283,0.0,0.0,0.0,8.830188678999999,14.71698113,0.0,0.0,0.0,0.0,6.66727078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
