UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
96ef40c3-8d4c-4fe1-a33a-99f5b205a0bb,0.0,10.46210453,31.82702703,0.0,0.0,0.0,11.41897655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3027027
d60f54f5-b154-42c4-99fb-cea4e7a33dc7,0.0,0.0,93.95689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.1637931
08ac57ec-0036-4134-a9bb-f22eaa27ab0d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a6957d15-453c-4f3b-ab8c-c38054dfe548,0.0,28.67240654,0.0,0.0,0.0,0.0,31.29480658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83606557
c065761d-f775-457f-bda0-4c7c257a701e,60.26085931,41.11958576,63.0,21.73914069,0.0,0.0,44.88041424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
56ffaa35-814c-4c0b-b3c6-d4514d34fec2,30.13042965,7.65015549,0.0,10.86957035,0.0,0.0,8.34984451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7cae6c0b-36fe-411b-bbba-093a4c846d84,47.64368224,0.0,11.14285714,17.18748659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53dec97d-0464-4ffd-8e2e-95b2b9a03af0,48.41343674,0.0,0.0,17.46517598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.098265899999998
eab71331-53d3-4cf5-96c9-5121a3962c27,12.49310498,4.781347181,0.0,4.506895021,0.0,0.0,5.218652819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39520be3-a2af-4189-acf4-9d239363333a,21.53147626,21.25481345,17.17525773,7.767492814,0.0,0.0,23.1987948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
