UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
945e6808-2887-4f32-ac32-8f9e00353bf6,0.0,0.0,0.0,0.0,0.0,16.43214815,0.0,4.567851846,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3b3a27c-ee9a-42af-a6d1-9af5970a98b9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3269608c-5dd7-452a-976a-31ac971aac2f,0.0,0.0,0.0,0.0,0.0,124.37266629999999,0.0,34.57344151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7dc3e035-c7ae-4164-a62b-9c2460812b05,0.0,0.0,0.0,0.0,0.0,16.43214815,0.0,4.567851846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07d20658-3db4-47e7-877b-66536266edfc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a67f4531-99ef-43df-82f5-f6abc4b11826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43be43cb-a367-4a74-94e4-973acafcf576,0.0,0.0,0.0,0.0,0.0,36.77671254,0.0,10.22328746,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0f6b355e-3898-4be6-be97-da0c3840a4ed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0d31a44f-1fc5-43a2-9633-36c4e650d3d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801e67c8-c506-410a-bdf0-856a66e974f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.9602273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f658c350-fb89-4268-8a59-a07e365f4221,0.0,0.0,0.0,0.0,0.0,5.477382717999999,0.0,1.522617282,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8be2b0f5-7bad-4720-b13c-e95b32bdb933,0.0,0.0,0.0,0.0,0.0,16.88456574,0.0,4.693616078,0.0,0.0,116.4218182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9ff21093-58d7-4b69-aade-c242a383ea56,0.0,0.0,0.0,0.0,0.0,19.18785002,0.0,5.333889112,0.0,0.0,22.47826087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14b8bbf2-310b-459b-b52d-a7ef510ce1cf,0.0,0.0,0.0,0.0,0.0,43.81906175,0.0,12.18093825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06dad93a-4b67-49b3-8fa5-f2546e22bae7,0.0,0.0,0.0,0.0,0.0,32.47305469,0.0,9.026945313999999,0.0,0.0,75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7bc3209f-b349-49bf-9b3d-44ef870b586f,0.0,0.0,0.0,0.0,0.0,22.69201412,0.0,6.3079858820000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
047f9e4d-86b5-4943-aef5-68199bf29e8c,0.0,0.0,0.0,0.0,0.0,26.23843012,0.0,7.2938279470000005,0.0,0.0,29.46774194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e07991a4-0901-4ed1-8704-aa376565d862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
