UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
3bb4c27b-4d0d-4d13-b910-41a9ebf95880,10.44044168,23.35384615,0.0,29.44615385,32.49230769,0.0,0.0,0.0,0.0,48.45186601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cb753e6f-5ea3-4b58-9db3-7a62d15c8b2e,0.0,34.0,0.0,28.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bb5bedd3-d8fc-4739-8e6b-9e37223f8be2,0.0,17.31683168,14.69306931,0.0,14.69306931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba096d4f-5a6c-4c31-ae03-e7483cf58c38,6.381916045,0.0,0.0,0.0,33.61111111,0.0,0.0,0.0,0.0,0.0,0.0,2.784750622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9bb9164e-ea1b-49ab-bbcc-f59cf8c32345,17.48062053,0.0,0.0,0.0,13.37572254,0.0,0.0,0.0,0.0,27.93442744,0.0,5.001137008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c5c2293-3f40-4ae3-8346-6a327b2abf4d,86.45248515,0.0,0.0,87.41362916,50.74009509,0.0,0.0,0.0,0.0,60.34408325,0.0,32.04970735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a37a825c-d74e-46cc-92ef-b65016857b4a,3.578535852,0.0,27.25077399,0.0,37.84829721,0.0,0.0,0.0,0.0,16.60722266,0.0,0.0,40.37151703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96a2896c-1e32-4827-a526-6b7104832f9a,4.633545302,0.0,0.0,33.17368421,64.33684211,0.0,0.0,0.0,0.0,21.5032968,0.0,0.0,58.30526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09497b9b-6fca-48cb-af97-161a3e434a51,0.0,65.39877301,0.0,398.42944789999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.6687117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b02b4bba-6e66-44fb-a48f-38c309aaaac5,0.0,0.0,104.2105263,0.0,41.37770898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
