UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
34881c6b-f59f-42c0-9f29-9c5c47262ae6,0.0,0.0,0.0,0.0,75.63202247,0.0,0.0,0.0,219.3328652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369c06f2-8904-49cb-99d1-dd297ed0cd0c,46.66666667,121.2318841,29.42028986,50.72463768,45.65217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.04347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a762dd44-a8ac-4269-8163-bbf6d0f8d4b3,61.14441417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.51498638,0.0,0.0,44.32970027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43aa4123-0fe2-4071-8a81-cbdd0410b917,0.0,0.0,0.0,11.61682243,0.0,0.0,0.0,0.0,13.72897196,0.0,0.0,34.85046729,0.0,19.00934579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0bbc7ede-5022-4084-925c-d65baaf7abc2,0.0,0.0,0.0,0.0,26.353741499999998,0.0,0.0,0.0,0.0,0.0,0.0,37.50340136,0.0,18.24489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1c3df485-8e75-4378-87f6-c6463a520624,26.42622951,0.0,0.0,0.0,32.52459016,0.0,0.0,0.0,17.27868852,0.0,0.0,36.59016393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045c788-9ea8-4ea5-a5e3-65fc16a62adb,51.56666667,0.0,0.0,0.0,43.47777778,0.0,0.0,0.0,41.45555556,57.63333333,0.0,0.0,0.0,46.51111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7731ef7f-25bd-42f5-9a20-be249306a711,23.2,23.70434783,0.0,67.58260870000001,0.0,0.0,0.0,0.0,26.22608696,0.0,0.0,0.0,0.0,26.73043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79eb7bba-f0d8-462c-add7-20a2fb7843e1,35.0,20.0,0.0,0.0,24.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b7a7d93b-38a7-4fc3-a433-3bb0a8cb7c42,17.25123153,0.0,14.20689655,0.0,0.0,0.0,0.0,0.0,0.0,15.22167488,0.0,17.25123153,0.0,25.36945813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84e601b7-dfa5-4cd5-9fef-07f03967a0d4,39.14381271,0.0,0.0,0.0,20.60200669,0.0,0.0,0.0,25.23745819,0.0,0.0,17.51170569,0.0,15.45150502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387c6519-6529-4074-a5ab-00f8052a5732,24.51948052,0.0,0.0,17.36796537,34.73593074,0.0,0.0,0.0,0.0,22.47619048,0.0,17.36796537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448af8b4-e071-48b0-a65b-b4ad17afdc0c,0.0,0.0,23.25274725,11.12087912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26373626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4c3840df-9824-40db-879e-6d24adc8c155,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24badf07-8615-48a3-8d6e-45c3d783f18d,0.0,0.0,34.24864865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.17297297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efe4d5dd-fffb-41df-ab86-be06cc16646f,23.0,0.0,27.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504d4cb0-d2dd-420d-82e6-9ec14434a0fc,38.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,13.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8cf9b32d-3d6f-4898-8c7a-89511b754021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48f68f73-3ac0-44ac-ba12-b8889fcb7f38,33.44594595,0.0,0.0,0.0,13.17567568,0.0,0.0,0.0,0.0,0.0,0.0,14.18918919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d18c6e64-9598-488a-8ab3-3652072f9277,22.18950437,0.0,0.0,19.60932945,0.0,0.0,0.0,0.0,35.09037901,31.9941691,0.0,17.5451895,0.0,30.96209913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649f2c20-5b50-40a8-a6fd-9a51f3d5b9df,28.88931298,0.0,0.0,28.88931298,28.88931298,0.0,0.0,0.0,49.80916031,0.0,0.0,0.0,0.0,68.73664122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fb0c6353-a90c-45e2-9355-7cd16cf756ff,0.0,38.74146341,26.50731707,0.0,0.0,0.0,30.58536585,0.0,0.0,29.56585366,0.0,31.60487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96dc785c-8417-4813-8d15-c32b22d78b74,22.43137255,0.0,0.0,14.2745098,0.0,0.0,22.43137255,0.0,0.0,0.0,0.0,23.45098039,0.0,16.31372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c48d7f4a-e98a-4077-a749-eb9f56f05b84,0.0,191.4309623,52.3916318,0.0,0.0,0.0,142.0619247,0.0,0.0,0.0,0.0,0.0,0.0,70.02343096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e7ebc6fb-0926-4c8a-a67b-0c6b9c1ffaba,20.44117647,0.0,0.0,0.0,44.97058824,0.0,0.0,0.0,0.0,16.35294118,0.0,0.0,0.0,30.66176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6962bc97-fbb8-4220-a600-e3c251e245cb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.70200573,0.0,42.36103152,0.0,52.4469914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f,0.0,35.5,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
935b113e-f5ed-4a07-8e1d-1603daba7f40,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,30.0,0.0,37.5,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89c48e53-c8a9-4518-b3b8-509cdcaff52b,43.80368098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.39877301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d54ca81c-1bcc-41ea-b17a-9f7249ebe9c1,28.17177914,19.619631899999998,0.0,0.0,0.0,0.0,0.0,0.0,29.17791411,0.0,0.0,25.65644172,0.0,26.1595092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71a2b4a2-88dd-4911-a67e-70b3309c4a12,39.00290276,73.44702467,83.07111756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03193033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706868b5-4920-433a-bea3-92e9bf83059b,0.0,86.45183888,0.0,0.0,0.0,0.0,32.16812609,0.0,0.0,42.2206655,0.0,0.0,0.0,56.29422067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2fe2433b-9a55-431f-a869-2b5a63e8e8fc,32.45070423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16901408,0.0,10.14084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e9cb8877-8e83-46c0-93f0-ea20530c9400,27.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d2ab2555-7288-47a4-a80c-bf62d65b67b8,19.92337165,0.0,0.0,0.0,40.84291188,0.0,0.0,0.0,0.0,16.9348659,0.0,17.93103448,0.0,15.93869732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4c2ad4a0-5d57-4e27-9f35-058b2f205f50,31.90184049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.38496933,171.4723926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25224aa0-cfdd-48ec-92e5-8f3992a3e574,0.0,0.0,98.40954274,66.60039761,0.0,0.0,45.72564612,0.0,0.0,0.0,0.0,129.2246521,0.0,73.55864811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abc94013-71f5-4ac6-88a4-01b4ef9f9d2f,36.68965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9623d295-c23d-4f2f-827c-69f767a26f1f,0.0,0.0,0.0,0.0,94.56287425,0.0,0.0,0.0,32.19161677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b88f014e-bc0f-4775-8228-39e0b471c3b0,0.0,0.0,43.65292842,33.5010846,0.0,0.0,0.0,0.0,0.0,20.30368764,0.0,62.43383948,0.0,36.54663774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7ac0b303-d685-4fa5-bfec-34d2ba1dbc8e,58.10964083,0.0,39.07372401,28.05293006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5557656,0.0,24.5463138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7dc5f8ba-0080-43d3-8426-bd527a970761,118.97062279999999,41.8413631,0.0,0.0,0.0,0.0,60.49353702,0.0,0.0,118.97062279999999,0.0,0.0,0.0,40.32902468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee6cc68e-8d2a-41ee-82c6-0fecdf7e6259,22.171875,0.0,36.28125,21.1640625,0.0,0.0,0.0,0.0,15.1171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a96eddfc-3afb-4bf8-a440-c91778113fbd,33.48484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.51515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fab3d6f4-de1c-4d6c-bdea-ac39a7884657,19.86111111,17.31481481,0.0,0.0,30.55555556,0.0,41.75925926,0.0,0.0,0.0,0.0,0.0,0.0,24.9537037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ad41f1f3-e38e-4418-9c16-52bca5719f39,22.41212121,0.0,0.0,0.0,10.42424242,0.0,0.0,0.0,0.0,14.59393939,0.0,0.0,0.0,25.01818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45e16b70-c3ec-493e-86d1-505ffdf5056c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.42902710000004,408.0818713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
