UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
f6c811ff-f22e-490b-9b23-b527d20e6e6d,20.11087863,0.0,0.0,0.0,33.4900284,0.0,0.0,0.0,132.9909297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a330a96e-9897-4605-b5f1-5b5ef45cd365,15.38306103,0.0,0.0,13.0,25.61693897,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e45f3391-2e74-4767-817a-280cebac7c57,25.20133414,0.0,0.0,0.0,41.96700757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.6105528,0.0,0.0
efec3225-de07-4559-9a90-95223495cc61,0.0,0.0,32.51011525,0.0,0.0,35.327948299999996,23.21847926,0.0,203.5088853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e4aaca83-3ae9-47f6-a975-c144767ad705,46.02828639,0.0,0.0,59.32777778,76.64949138,80.44444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.43333333,0.0,0.0
745b8756-0eab-423f-8cde-e0ff1aaa6596,15.66793253,0.0,0.0,0.0,26.09132673,40.74074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.24074074,0.0,0.0
6f981023-4269-4e8e-a4ab-2c92bb27273c,11.41999868,0.0,0.0,0.0,19.01737299,39.91786448,0.0,0.0,159.6714579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7fdd07a4-4a27-40c3-af92-a0074e6391f5,0.0,0.0,8.565506589,0.0,0.0,0.0,6.11742024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53658537,0.0,0.0
e6f7344b-951f-4f3f-b140-7bf53164c462,16.80725695,0.0,0.0,0.0,27.98860869,18.325581399999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.8087855,0.0,0.0
bbb2cf2f-8f32-43d4-846c-d1020e6329ec,10.27627834,0.0,15.38604349,23.3314121,17.11277065,21.30259366,10.98859628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.32853026,0.0,0.0
efbec43c-0c16-4006-abe8-c3ec2ec42c05,10.49766126,0.0,0.0,0.0,17.48143282,112.9337979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3135834-3af0-4e98-bc6f-ad8ddf33db80,0.0,0.0,0.0,0.0,0.0,163.2034956,0.0,0.0,187.7340824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2b4feb84-89e4-4c38-8561-5ffab02c8132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.60238569999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4e913899-eeb8-4630-ba9d-41a81ced8069,0.0,0.0,0.0,66.89552239,0.0,25.76716418,0.0,0.0,22.79402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d392ded3-afc8-4c79-b278-40245f18f2f8,6.8633526289999995,0.0,15.41411762,18.80081301,11.429330300000002,0.0,11.00864661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2398374,0.0,0.0
86f23897-dba0-4e89-8381-d174eaa6fcc1,23.68933676,0.0,0.0,105.2307692,39.44912478,50.61098901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.65934066,0.0,0.0,0.0,126.27692309999999,0.0,0.0
42465bbd-289b-4e96-98fe-76809c5e1520,0.0,0.0,0.0,100.63621529999999,0.0,0.0,0.0,0.0,33.88254486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.9559543,0.0,0.0
