UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
03c3c692-8a86-4843-85ae-e045f0fa6f88,56.21789883,0.0,41.15953307,0.0,0.0,0.0,0.0,0.0,0.0,86.33463035,0.0,0.0,32.12451362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748d3ff3-8699-4519-8e0f-26b6a0581bff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.80503145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bbbc531a-dd41-40b7-ae59-e35508aea0c7,0.0,0.0,26.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.35802469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05070acd-3ec1-44bb-9c32-26d3a483a72a,21.96330275,0.0,17.77981651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee8ba991-8c96-476e-b096-49f3aaaffc2f,0.0,0.0,40.625386999999996,0.0,28.08668731,0.0,0.0,0.0,0.0,24.07430341,0.0,0.0,53.16408669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee5d5e7d-78cf-4a29-a9ee-56aa3da877dd,30.7826087,0.0,0.0,0.0,44.12173913,0.0,0.0,0.0,0.0,16.4173913,0.0,0.0,11.28695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2238b5f-0513-487a-9b1b-7bef85ebf336,15.23076923,0.0,0.0,0.0,15.23076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.27692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7fcd8af9-4d73-4c97-95cc-b30b09f21bb2,14.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8454fe53-869d-41c8-b0c8-a7929d00eec3,58.69430052,0.0,0.0,74.61139896,24.87046632,0.0,0.0,0.0,0.0,19.89637306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cafe9603-a804-48fb-9217-e2d1c3c346c5,50.30487805,0.0,0.0,0.0,46.280487799999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.17682927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b37d6283-6f95-4975-a794-f3d5c4bbc7b3,0.0,0.0,0.0,5.396226415,0.0,0.0,0.0,0.0,0.0,8.830188678999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20d1b88b-3ff6-4201-a748-6a993500c652,0.0,0.0,0.0,0.0,10.25641026,0.0,0.0,0.0,0.0,8.205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4db9e471-0068-4ec6-9bcb-33ef5fdec33e,7.789473684,0.0,0.0,0.0,16.55263158,0.0,0.0,0.0,0.0,11.68421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84a6ea88-eeb8-4060-a90c-e4abac013ad4,32.20645161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.7096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1447c8cb-25d4-4092-8919-4df08f898d2d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.227272727,0.0,0.0,8.363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5b41e033-6df8-411e-a13b-59eeb8afbf9b,18.13333333,0.0,9.066666667,0.0,15.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e181878-c640-4e91-a620-3fc4b08a4de1,45.61016949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.44067797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cfe0bf13-2ff4-4164-9b6a-cd3615bf3ddc,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21b1a37f-e91e-4ce1-83cf-bb89b8d0fb35,0.0,0.0,0.0,18.27692308,25.38461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2102558b-87b0-447b-bb9a-e4ae9df8b75e,47.47552448,0.0,0.0,0.0,12.25174825,0.0,0.0,0.0,0.0,9.188811188999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3c86ba21-7b11-4ec7-9d20-a2325197c676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62804878,0.0,0.0,48.07926829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654dba9f-cfe5-4121-97c7-868613cdef53,0.0,0.0,0.0,0.0,37.14285714,0.0,0.0,0.0,0.0,7.923809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1f81a1b0-8089-44ef-87b5-b3359a407ad2,71.37254902,0.0,17.84313725,14.2745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.31372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68ba1105-569a-4209-9b45-0e2d64931806,0.0,7.3134328360000005,0.0,0.0,6.268656716000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.14925373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33070975-0f35-4518-9ffb-4c6170c32534,0.0,0.0,0.0,0.0,7.127272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7f42e118-aab6-438a-9e84-e7451fe12d7e,18.39130435,0.0,0.0,7.1521739129999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec646623-6d33-4fbd-888e-89f55d82eb11,0.0,0.0,10.64516129,6.7741935479999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b47aa163-eec9-4225-940b-4373e78152e2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25cf7449-8c5b-403e-aa75-e2af158598e8,27.0,0.0,22.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edac1323-2497-45e6-9148-e9c955292ba2,0.0,0.0,12.05797101,0.0,51.24637681,0.0,0.0,0.0,0.0,17.0821256,0.0,0.0,13.56521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72a5e569-99d4-47bc-be1b-6296a5025080,0.0,0.0,9.375,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
