UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
9e0009d1-c993-4247-9706-88ee84591dec,86.03243243,128.3027027,0.0,0.0,0.0,0.0,105.427027,0.0,0.0,0.0,0.0,100.4540541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b35d9a68-29f4-49ab-b83e-b5151679e3af,136.2732753,118.2371065,59.11855325,197.896852,0.0,0.0,142.28533149999998,0.0,0.0,0.0,0.0,82.16476892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ac15380-04a2-42dd-8ade-28556a570e80,0.0,411.13409,407.641446,0.0,0.0,0.0,225.5250105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35a74e53-16ff-4764-8397-6a9b02dfe733,32.07289294,73.16628702,0.0,0.0,0.0,0.0,59.13439636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74e5905f-6350-498a-9454-9ea0593d2f56,0.0,146.55495980000003,74.79356568,0.0,0.0,0.0,88.94369973,0.0,0.0,0.0,0.0,31.33243968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b3befa40-8f44-4eb6-ada0-ec395f460656,16.22857143,0.0,0.0,36.51428571,0.0,24.34285714,0.0,0.0,0.0,0.0,0.0,29.41428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20e02396-e676-412d-9724-44a428919cdb,48.0,81.0,0.0,29.0,0.0,42.0,66.5,0.0,0.0,0.0,0.0,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7f031d71-3cb7-4744-86bd-a3beecfe166e,8.380952381,0.0,0.0,0.0,0.0,14.66666667,0.0,0.0,0.0,0.0,0.0,13.61904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ca004926-f3ac-4824-8ed5-d84e62efdfae,103.80651529999999,82.24284304,67.19842053,59.17472853,0.0,0.0,76.22507404,0.0,0.0,0.0,0.0,93.27541955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eb9a8f12-6451-43cc-95b3-2e86cf704c96,68.85642317,0.0,0.0,76.45088161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.302267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56ddcb96-e90b-4fce-aa4c-c677bbfee488,0.0,216.97737560000002,130.58823529999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13c62975-9f5e-4d40-a461-dceab08a31ec,10.13333333,8.106666667,0.0,0.0,0.0,9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3433b1f3-59d1-4ac2-9bbf-e0c4042b4ddc,39.35135135,0.0,0.0,113.009009,0.0,0.0,21.18918919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e04bcdff-3206-4c25-bae9-09f0222b074a,93.09263658,0.0,0.0,36.42755344,0.0,37.43942993,26.3087886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ead1bc2e-42c3-46d9-8f6f-8cb16ba9d2c3,0.0,124.49141350000001,110.9379128,0.0,0.0,0.0,104.4121532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351db483-a70e-496d-b70a-7449875121ee,0.0,175.558209,301.1731343,0.0,0.0,0.0,158.91044780000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1cd0acf2-3116-4dfa-a063-0a435b9f6da3,57.1425,109.2725,0.0,81.2025,0.0,0.0,81.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7edc42d3-d08e-4360-a3e1-aeb57cfc6640,49.1091314,230.5122494,0.0,0.0,0.0,0.0,83.18485523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58d3e932-b4a3-4cac-a6ac-73160e354a15,0.0,0.0,70.45016077,32.20578778,0.0,0.0,174.11254019999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bcf76f1a-7109-422d-94c9-5e8364895fa0,501.51603739999996,151.30653669999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.69021519999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a0583407-712d-46f3-8c4e-4eeaa0149087,35.35251799,49.49352518,99.9971223,54.03884892,0.0,0.0,75.75539568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450e8eba-a3a9-4dcb-b423-e33dfcd5c34e,31.93482688,51.89409369,37.92260692,0.0,0.0,27.94297352,31.93482688,0.0,0.0,0.0,0.0,47.90224033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fe8c62a6-c113-46e8-ab91-fdb90bb6a59f,0.0,47.0,34.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3f98d326-5676-4257-9af8-0a5f5d3c2527,0.0,241.88212030000003,173.2737342,0.0,0.0,0.0,133.210443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2790b964-63e3-49aa-bf8c-9a00d3448c25,16.25806452,0.0,0.0,0.0,0.0,39.62903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
