UUID,RefSig R2,RefSig R4,RefSig R6a,RefSig R1,RefSig R7,RefSig R5,RefSig R6b,RefSig R8,RefSig R3,RefSig R9,RefSig R10,RefSig R11,RefSig R12,RefSig R13,RefSig R14,RefSig R15,RefSig R16,RefSig R17,RefSig R18,RefSig R19,RefSig R20
8867bdef-3a8d-433e-b10f-d752e2cbb022,101.377335,89.33250311,44.66625156,0.0,54.20174346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a46f1e20-9e97-4dcc-a5ed-532aad9f3236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d7f8e1f3-a9a7-4929-92df-1283bac815d2,12.0,20.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7eb0f792-858f-45d1-a908-125b02ea1506,48.54339623,0.0,0.0,0.0,52.08301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0e54cea2-d568-4a33-b9db-b698844e6ad9,10.36585366,30.06097561,13.47560976,0.0,0.0,0.0,17.62195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68509ede-3dcf-4a6e-9af0-4a9bb4dfa567,33.29864253,0.0,0.0,135.7171946,22.70361991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63f5bb12-1b20-49d4-9e98-570e368f947d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bc0dee07-de20-44d6-be65-05af7e63ac96,0.0,0.0,0.0,774.195747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f50fb278-1f0f-406e-b341-eb3d1b97afe6,0.0,0.0,0.0,169.8829743,71.716916,0.0,102.74338320000001,0.0,38.655575799999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34a445c2-1eb4-4a9f-8838-cddc2f82aae4,27.40703518,0.0,0.0,5.236572141,40.60301508,0.0,0.0,0.0,7.959407757999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eb18e71d-2a27-4eae-aa27-4b2c0716d2ba,0.0,0.0,0.0,0.0,40.70175439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25f07374-313a-4100-9a60-3d21d2988fca,0.0,0.0,52.94233937,85.85401589,64.65074135,0.0,0.0,0.0,53.11962497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1d2d355a-8409-4c8a-9f07-ac62885e228d,36.34394904,0.0,35.3343949,39.86191332,95.90764331,0.0,0.0,0.0,60.58872362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81c7a8c1-8a6a-4e78-a72c-f7c021c67ff7,0.0,0.0,0.0,26.79992644,0.0,0.0,0.0,0.0,40.73495728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4dc9b032-7f7b-486d-a12b-8461af89501d,0.0,0.0,0.0,14.85753662,24.28571429,0.0,0.0,0.0,22.58293957,73.86904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce,26.42622951,0.0,13.21311475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b49d5310-3cc5-4386-9444-cf0d61b52376,68.0,41.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4e048de-1d43-4fbd-8289-9279b16c8a3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55e520f4-0e4b-41a2-9951-c4e9f323100b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a391468-fbf3-451a-b88e-a257a26d047f,77.42230347,54.29616088,0.0,205.6459908,119.14990859999999,0.0,0.0,0.0,52.76351559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65be412d-46c3-4cbf-9b46-b35351e53065,0.0,0.0,0.0,19.48431474,40.58248473,0.0,0.0,0.0,29.6154816,96.19551935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30b9ab02-60f2-4974-85a9-874f247ae932,0.0,13.2300885,43.76106195,5.653961907,26.46017699,0.0,0.0,0.0,8.593825704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5dc6f055-c4f6-49a1-a68c-94cf87cbd363,0.0,0.0,0.0,0.0,46.72972973,0.0,0.0,0.0,0.0,15.91891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bd2f8133-3e71-4c5e-998f-0c1a9fdfb75f,19.51006711,0.0,0.0,60.39659858,0.0,0.0,24.6442953,0.0,16.10340142,23.61744966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498ecf81-921d-4df9-a6a4-a625f484e823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37e5d47b-851b-47de-ba6a-fd2835644011,32.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eda1d8d9-e8f5-46f2-bb16-15d0b10c2cf9,36.99310345,0.0,0.0,11.01000398,45.213793100000004,0.0,0.0,0.0,16.73482361,31.85517241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2,0.0,0.0,0.0,0.0,88.87128713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d91e1a92-837d-44d6-92d8-419f435effe0,18.6122449,0.0,0.0,17.06122449,11.37414966,0.0,0.0,0.0,0.0,25.85034014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7e036d40-b669-4929-a1e2-c4736e01a473,48.64573991,0.0,0.0,89.60243398,108.94618829999999,0.0,0.0,0.0,36.06572746,33.44394619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6dbac113-d4cf-4db5-97c9-50fa400bb47e,0.0,0.0,0.0,0.0,18.94736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7b482f46-adcc-48ae-a4d6-17f4edd998dc,0.0,0.0,0.0,0.0,45.51894563,0.0,173.98352549999998,0.0,0.0,32.87479407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172c9864-c26d-4e9b-947a-e8ce761e996d,0.0,0.0,0.0,0.0,26.83018868,0.0,29.81132075,0.0,0.0,10.43396226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622eaa04-b8f9-471b-98b0-7befd119f14c,82.71864407,0.0,0.0,0.0,80.22711864,0.0,0.0,0.0,0.0,81.7220339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e66eb75-097c-4ad8-b2b3-9f5849dfd02f,7.28,0.0,0.0,0.0,0.0,0.0,12.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2e67393-50d7-4bcc-9bbd-c695086a936a,0.0,38.38,0.0,24.84954888,58.58,0.0,48.48,0.0,37.77045112,72.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7e305f31-fbb0-4bce-894b-1dd85e303421,0.0,0.0,0.0,0.0,19.61290323,0.0,0.0,0.0,0.0,9.290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73,15.36585366,0.0,8.195121951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c8e961b4-e324-40a2-89f6-736ec3845bc9,0.0,0.0,0.0,3.7037547560000004,0.0,0.0,0.0,0.0,5.629578577,10.37037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021b60d-f7b2-43b0-b2cc-f282d619d533,0.0,0.0,0.0,55.9504863,307.7276746,0.0,0.0,0.0,0.0,89.9204244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5c4b369c-51a3-4ca7-8b9d-2a8e49c0dde7,0.0,0.0,0.0,0.0,17.60714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0,41.41979522,0.0,0.0,10.42324352,58.59385666,0.0,0.0,0.0,15.84296809,20.70989761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3db3b7b1-da1d-4b9c-a92a-c60fecf4328c,119.1332398,0.0,90.11360449,50.91164095,39.71107994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9536f736-63bc-4099-bd54-740f5910f4a8,31.88888889,26.32098765,83.01234568,0.0,0.0,0.0,0.0,0.0,0.0,56.69135802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dc537fcf-d910-4c4b-8af9-e7da429f2633,0.0,579.5,138.0,252.8181194,0.0,0.0,128.5,0.0,72.68188056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c612570a-881d-421f-98b9-0e4563133744,77.99839228,0.0,0.0,146.43569130000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388a8875-c3f5-494e-8456-28be8d3626e1,0.0,0.0,0.0,0.0,23.16901408,0.0,0.0,0.0,0.0,8.873239437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e,5.272727273,0.0,0.0,0.0,7.381818182000001,0.0,9.490909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ea1cac20-88c1-4257-9cdb-d2890eb2e123,0.0,0.0,39.80412371,8.505271876,28.57731959,0.0,0.0,0.0,12.92771781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eb59b79f-bd36-4bf4-83e3-2af73bd1d30a,0.0,23.375,22.35869565,0.0,0.0,0.0,108.7445652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d8d5585d-32cd-4ac4-b410-a4122a17a558,54.42942346,0.0,0.0,131.195598,0.0,0.0,0.0,0.0,199.41275190000002,50.39761431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0cd60b96-eb2d-4687-9709-d1455ec45de7,16.2962963,0.0,0.0,0.0,0.0,0.0,52.96296296,0.0,0.0,16.2962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feccee20-a62d-4152-b832-b9fdaca87a61,0.0,122.8009828,152.8746929,0.0,0.0,0.0,93.22850123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576a1741-8c65-40da-9f0f-b2ca805d70f3,20.73170732,0.0,0.0,0.0,13.47560976,0.0,0.0,0.0,0.0,25.91463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6dac8ca0-f776-4ea2-85c4-aefba4966be7,34.33009709,0.0,86.83495146,0.0,45.4368932,0.0,0.0,0.0,0.0,21.2038835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1b44966-0f72-4c4f-8783-ab3ffe7f17b2,0.0,0.0,60.08588957,75.16901744,32.58895706,0.0,0.0,0.0,114.25429540000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ea2055d1-7b8b-4aaf-9a70-8802f4deef9b,0.0,0.0,0.0,0.0,15.40540541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c79ce3d3-4758-4f52-9da1-38f994c99f4e,0.0,0.0,0.0,11.25,17.38636364,0.0,0.0,0.0,0.0,14.31818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
931b24da-5d6d-4c2d-8de9-ef32d6eb8565,235.1022184,0.0,0.0,52.20595722,0.0,0.0,0.0,0.0,79.35124156,746.3244889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7116cc90-f465-4e7e-aa27-48a83ed258e9,0.0,0.0,0.0,9.362977277999999,57.22891566,0.0,0.0,0.0,14.23140023,38.15261044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d6738c83-7b52-4224-846a-67bd085aaab8,0.0,0.0,0.0,0.0,20.47058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2ee5dde-4342-4e78-88c5-3c9a8e10cbf5,0.0,0.0,0.0,0.0,0.0,0.0,6.339622642,0.0,0.0,10.56603774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1f2a8889-4374-4037-bb56-0f20733380e3,0.0,0.0,0.0,283.5893643,0.0,0.0,0.0,0.0,97.79829006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6a7cdaf6-211e-4eb8-a70e-1153d69c45e4,27.04537815,0.0,52.08739496,91.15294118,0.0,0.0,55.59327731,0.0,0.0,30.05042017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
edc8839f-fa6b-41e0-ad49-f688073730bd,51.0,0.0,0.0,55.16706871,28.0,0.0,0.0,0.0,44.33293129,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61cad26a-cbc6-4977-83b9-dc61e49f2861,0.0,0.0,0.0,40.73268493,0.0,0.0,0.0,0.0,61.91226621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a4c838df-6ac4-455a-8096-8ec680064374,0.0,0.0,0.0,6.417565845,66.70967742,0.0,0.0,0.0,9.754477166000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429aad6f-816d-4739-baa3-b0ebf2fcd501,61.34857143,0.0,0.0,0.0,29.16571429,0.0,0.0,0.0,0.0,85.48571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
