chromosome	start	end	cn	cn1	cn2
1	12080	30542	1	1	0
1	31042	326698	0	0	0
1	327724	342506	0	0	0
1	343006	368637	9		
1	369137	470381	2		
1	470881	600817	10		
1	600817	661133	6		
1	661633	698501	1	1	0
1	698501	791765	7	7	0
1	792265	804070	3	3	0
1	804570	860571	0	0	0
1	861071	909005	0	0	0
1	909258	949545	0	0	0
1	949548	1245321	0	0	0
1	1245890	1251008	1	1	0
1	1251508	1277953	0	0	0
1	1277955	1292275	1	1	0
1	1293740	1323002	3	2	1
1	1323016	1357172	0	0	0
1	1357672	1477572	0	0	0
1	1478072	1532869	1	1	0
1	1533369	1533829	1		
1	1533834	1572902	0	0	0
1	1573070	1576504	0	0	0
1	1576934	1577746	6	6	0
1	1577750	1585764	5	5	0
1	1586776	1595231	2	2	0
1	1595731	1599978	1	1	0
1	1601148	1607074	1	1	0
1	1607427	1633269	3	3	0
1	1634312	1670470	10	10	0
1	1670706	1684296	7	5	2
1	1684312	1685852	0	0	0
1	1686006	1858482	1	1	0
1	1859068	2099906	0	0	0
1	2100406	2289087	1	1	0
1	2289932	2316653	0	0	0
1	2316671	2340338	1	1	0
1	2341755	2453624	0	0	0
1	2454124	2489280	3	2	1
1	2489748	2525511	2	1	1
1	2525770	2541327	0	0	0
1	2542613	2846384	0	0	0
1	2846384	3301927	1	1	0
1	3302427	3341613	0	0	0
1	3342113	3378997	0	0	0
1	3379497	3425314	0	0	0
1	3425633	3547566	0	0	0
1	3547567	3607643	0	0	0
1	3608143	3673424	0	0	0
1	3673924	3697220	2	2	0
1	3697525	3755739	1	1	0
1	3756124	3784699	2	2	0
1	3785199	5100792	1	1	0
1	5100792	5821028	2	2	0
1	5821028	6145332	1	1	0
1	6145832	6163391	3	3	0
1	6163391	6280396	1	1	0
1	6280400	6323865	2	2	0
1	6324365	6399064	1	1	0
1	6399564	6484062	3	3	0
1	6484562	6527547	1	1	0
1	6527563	6580150	2	2	0
1	6581388	6605250	1	1	0
1	6605750	6693387	3	3	0
1	6693390	6737867	0	0	0
1	6738367	6761254	3		
1	6761754	6966912	6	6	0
1	6966912	7095668	2		
1	7095668	7202428	2	2	0
1	7202928	7527302	2	2	0
1	7527802	7737119	2	2	0
1	7737619	7896042	3	3	0
1	7897050	7946766	1	1	0
1	7946766	7993435	3	3	0
1	7994921	8024891	6	6	0
1	8025391	8037540	0	0	0
1	8037611	8064729	1		
1	8065229	8105060	3	3	0
1	8105060	8378152	3		
1	8378940	8440253	2	2	0
1	8440753	9005330	5	5	0
1	9005830	9085153	2	2	0
1	9086164	9102219	2	1	1
1	9102719	9118481	1	1	0
1	9118981	9164627	6	6	0
1	9165593	9277175	2	2	0
1	9277175	9542878	3	2	1
1	9542878	9627337	2		
1	9627342	9648420	1	1	0
1	9649587	9693321	2	2	0
1	9693321	9778970	6	6	0
1	9779917	9785078	2	2	0
1	9785578	9790552	6	6	0
1	9790604	9814601	2	2	0
1	9815101	9943168	6	6	0
1	9943668	9989871	3	2	1
1	9989875	10044101	1	1	0
1	10044394	10179839	2	2	0
1	10180339	10331633	1	1	0
1	10332288	10394684	3	3	0
1	10395184	10434515	1	1	0
1	10434878	10494880	2	2	0
1	10495380	10519893	1	1	0
1	10521257	10683419	2	2	0
1	10684171	10754028	1	1	0
1	10754948	10820217	3		
1	10820717	11035602	3	3	0
1	11036102	11073857	1	1	0
1	11073948	11114750	1	1	0
1	11114754	11126896	3	3	0
1	11128052	11193357	1	1	0
1	11194418	11263917	3		
1	11264417	11292566	3		
1	11293383	11593753	2	2	0
1	11593757	11689485	1	1	0
1	11689485	11779714	2	2	0
1	11779718	11783611	3	3	0
1	11783917	11806360	2	2	0
1	11807394	11828521	1	1	0
1	11828961	11835781	2	2	0
1	11836448	11876872	3	3	0
1	11877372	11883027	6	6	0
1	11883782	11902419	1	1	0
1	11902422	11980477	2	2	0
1	11980977	12004006	6	6	0
1	12004506	12034188	2	2	0
1	12034688	12163962	1	1	0
1	12164462	12172050	1	1	0
1	12172051	12195112	6	6	0
1	12195612	12202668	8	8	0
1	12202672	12254158	3	3	0
1	12254531	12373670	2	2	0
1	12374170	12393196	1	1	0
1	12393202	12405629	6	6	0
1	12406566	12722127	3	3	0
1	12722627	12886636	2	2	0
1	12887136	12908213	3	3	0
1	12908713	12955047	8	8	0
1	12955416	12999092	6	6	0
1	12999592	13035070	2	2	0
1	13035570	13109425	2	2	0
1	13109925	13171807	8	8	0
1	13172307	13183943	3	3	0
1	13184443	13378707	3	3	0
1	13379207	13495545	3	3	0
1	13495914	13632609	2		
1	13633015	13746671	3	3	0
1	13747171	14041439	2	2	0
1	14041939	14142204	6	5	1
1	14142704	14488539	2	2	0
1	14488539	14906516	1	1	0
1	14906516	15088160	2	2	0
1	15088160	15306023	3	2	1
1	15306023	15461795	2	2	0
1	15461795	15622560	3	3	0
1	15623060	15690337	2	2	0
1	15690837	15707297	2	2	0
1	15707714	15787652	2	2	0
1	15788152	15818570	1	1	0
1	15818639	15832652	3	2	1
1	15833224	15860903	3	3	0
1	15862955	15911414	2	2	0
1	15912160	15985743	3	3	0
1	15986243	16043342	2	2	0
1	16044394	16066414	1	1	0
1	16066417	16069653	2	2	0
1	16070621	16103180	6	5	1
1	16103680	16174686	2	2	0
1	16175186	16265404	6	3	3
1	16265795	16269774	3	2	1
1	16269902	16301935	1	1	0
1	16302435	16333941	3	3	0
1	16334194	16349097	3	2	1
1	16349102	16353393	6	5	1
1	16353655	16355868	0	0	0
1	16356177	16358794	1	1	0
1	16358876	16377161	7	7	0
1	16377210	16380177	1	1	0
1	16380677	16386001	2	2	0
1	16386292	16455419	3	3	0
1	16455919	16481660	0	0	0
1	16483150	16525463	6	5	1
1	16525508	16531513	5	4	1
1	16531518	16554642	7	7	0
1	16555142	16769499	3	3	0
1	16769999	16781693	3	3	0
1	16782193	16802898	1	1	0
1	16802964	16803085	0	0	0
1	16803489	16972170	0	0	0
1	16972995	17125158	1	1	0
